States ,Sucides_2019,Sucides_2020,,,,,
Andaman & Nicobar Islands,181,0,,,,,
Andra Pradesh,6465,7043,,,,,
Arunachal Pradesh,112,160,,,,,
Assam,2370,3243,,,,,
Bihar,641,809,,,,,
Chandigarh,131,142,,,,,
Chattisgarh,7629,7710,,,,,
Dadara & Nagar Haveli,95,156,,,,,
Daman & Diu,46,40,,,,,
Goa,259,308,,,,,
Gujrat,7655,8050,,,,,
Haryana ,4191,4001,,,,,
Himanchal Pradesh,584,857,,,,,
Jammu & Kashmir,284,289,,,,,
Jharkhand,1646,2145,,,,,
Karnataka,11288,12259,,,,,
Kerala,8556,8500,,,,,
Lakshadweep,0,2,,,,,
Madhya Pradesh,12457,14578,,,,,
Maharashtra,18916,19909,,,,,
Manipur,58,44,,,,,
Meghalaya,198,224,,,,,
Mizoram,70,108,,,,,
Nagaland,41,48,,,,,
NCT of Delhi,2526,3142,,,,,
Puducherry,450,408,,,,,
Punjab,2488,2616,,,,,
Rajasthan,4531,5658,,,,,
Sikkim,220,285,,,,,
Tamil nadu,13493,16883,,,,,
Telangana,7675,8058,,,,,
Tripura,728,845,,,,,
Uttar pradesh,5464,4804,,,,,
Uttarakhand,516,943,,,,,
West Bengal,"14,500","13,103",,,,,
Odisha,4582,5546,,,,,
,,,,,,,
