Number of Accidental Deaths & Suicides in India During 1967 to 2019,,,,,,,
"Sl.
No.",Year,Male S,Female S,Total S,Male A ,Female A,Total A
1,1967,79131,47631,126762,22637,16192,38829
2,1968,79159,47073,126232,24464,16224,40688
3,1969,82105,48650,130755,25947,17686,43633
4,1970,89210,50542,139752,28846,19582,48428
5,1971,68344,37257,105601,26326,17349,43675
6,1972,69838,36346,106184,26923,16678,43601
7,1973,69613,36741,130654,25231,15576,40807
8,1974,73580,37044,110624,27791,18217,46008
9,1975,74987,38029,113016,26074,16816,42890
10,1976,73098,38513,111611,24042,17373,41415
11,1977,76013,41325,117338,23453,16265,39718
12,1978,78352,40242,118594,24137,16070,40207
13,1979,72448,36539,108987,22980,15237,38217
14,1980,76293,40619,116912,24188,17475,41663
15,1981,82328,39893,122221,23864,16381,40245
16,1982,82977,43016,125993,26520,18212,44732
17,1983,85577,42999,128576,27260,19319,46579
18,1984,90636,43992,134628,29296,21275,50571
19,1985,93568,46089,139657,30460,22351,52811
20,1986,98480,48543,147023,31271,23086,54357
21,1987,103727,48587,152314,34292,24276,58568
22,1988,110235,53287,163522,37755,26515,64270
23,1989,114953,54113,169066,40212,28532,68744
24,1990,117932,56469,174401,43451,30460,73911
25,1991,129142,58861,188003,46324,32126,78450
26,1992,133977,60933,194910,47481,32668,80149
27,1993,130499,61858,192357,49851,34393,84244
28,1994,132241,58194,190435,52752,36443,89195
29,1995,157219,65268,222487,52357,36821,89178
30,1996,156106,63988,220094,51206,37035,88241
31,1997,164876,69027,233903,56281,39548,95829
32,1998,185520,72889,258409,61686,43027,104713
33,1999,193652,78266,271918,65488,45099,110587
34,2000,186324,69559,255883,66032,42561,108593
35,2001,196129,74890,271019,66314,42192,108506
36,2002,194850,65272,260122,69332,41085,110417
37,2003,197285,62340,259625,70221,40630,110851
38,2004,210190,67073,277263,72651,41046,113697
39,2005,224806,69369,294175,72916,40998,113914
40,2006,241210,73494,314704,75702,42410,118112
41,2007,262918,77876,340794,79295,43342,122637
42,2008,263809,78500,342309,80544,44473,125017
43,2009,276333,80688,357021,81471,45680,127151
44,2010,298262,86387,384649,87180,47419,134599
45,2011,302420,88464,390884,87839,47746,135585
46,2012,306061,88921,394982,88453,46992,135445
47,2013,312670,87847,400517,90543,44256,134799
48,2014,354573,97078,451757,89129,42521,131666
49,2015,328241,85169,413457,91528,42088,133623
50,2016,333804,84372,418221,88997,41997,131008
51,2017,318316,78234,396584,89019,40852,129887
52,2018,330925,80864,411824,92114,42391,134516
53,2019,340267,80800,421104,97613,41493,139123
